,Diagnosis,Vs_Norm_Diagnosis,Region_Column,ROI_Name,Diagnosis_Mean,Diagnosis_Std,Norm_Mean,Norm_Std,Mean_Difference,Cliffs_Delta,Cliffs_Delta_CI_Low,Cliffs_Delta_CI_High,Significant_Bootstrap_p05_uncorrected,Cohens_d,P_Value_Uncorrected,Abs_Cliffs_Delta,Abs_Cohens_d
59,MDD,HC,region_59_z_score,[N] Left SFG superior frontal gyrus (Vgm),0.9350839262361723,1.4467423739104628,0.9812135168453608,1.2535933423853474,-0.04612959060918853,-0.05421051584538564,-0.13399778516057587,0.03037778264069867,False,-0.034701720353264534,0.5425,0.05421051584538564,0.034701720353264534
60,MDD,HC,region_60_z_score,[N] Left SMC supplementary motor cortex (Vgm),1.134893233920105,1.9208110921715593,1.0397569348894027,1.5061282361640447,0.09513629903070231,0.04735379738861148,-0.04040424135118467,0.12606680327053535,False,0.056841293331059486,0.52125,0.04735379738861148,0.056841293331059486
61,MDD,HC,region_61_z_score,[N] Left SMG supramarginal gyrus (Vgm),0.9241376535398556,1.324025601353677,1.0223871073511024,1.4445876561749202,-0.09824945381124683,-0.04812302305687628,-0.13401104767209768,0.0398870034018342,False,-0.07014843969218654,0.5425,0.04812302305687628,0.07014843969218654
62,MDD,HC,region_62_z_score,[N] Left SOG superior occipital gyrus (Vgm),1.1882814849750487,1.5933132082521428,0.9134474513664566,1.2252313385429416,0.27483403360859215,0.10602714836108514,0.017712084137373095,0.18391787852865696,True,0.19989978313318194,0.50875,0.10602714836108514,0.19989978313318194
63,MDD,HC,region_63_z_score,[N] Left SPL superior parietal lobule (Vgm),0.8913006383217941,1.0817061120130365,0.9739224657936112,1.3184754642977088,-0.08262182747181712,-0.0021153705877281982,-0.08605380600924398,0.0741573331741832,False,-0.06689929996260066,0.97,0.0021153705877281982,0.06689929996260066
64,MDD,HC,region_64_z_score,[N] Left STG superior temporal gyrus (Vgm),1.100381607353589,1.5843873088059242,0.8478521426278517,1.1645471001550367,0.25252946472573734,0.07292391960265515,-0.015086106856055331,0.154660778111551,False,0.18880411353478357,0.50375,0.07292391960265515,0.18880411353478357
65,MDD,HC,region_65_z_score,[N] Left TMP temporal pole (Vgm),1.0187313871134522,1.3225571267516982,0.9751109246997274,1.527554204645218,0.04362046241372486,0.054011578172558534,-0.031040908216789013,0.13629219965384845,False,0.029998851815216755,0.54,0.054011578172558534,0.029998851815216755
66,MDD,HC,region_66_z_score,[N] Left TTG transverse temporal gyrus (Vgm),1.0670473839748984,1.3838880006191474,0.9421266709718008,1.3211636839116387,0.1249207130030976,0.07324221987917852,-0.005842136325355933,0.15206132585327684,False,0.09287591098689116,0.515,0.07324221987917852,0.09287591098689116
67,MDD,HC,region_67_z_score,[N] Left Thalamus Proper (Vgm),0.9831939001737355,1.0394959334843952,1.0298347935841974,1.3291181254847602,-0.04664089341046185,0.02280488856174694,-0.05983382073063176,0.10817567522761785,False,-0.037964573825890455,0.63,0.02280488856174694,0.037964573825890455
68,MDD,HC,region_68_z_score,[N] Left TrIFG triangular part of the inferior frontal gyrus (Vgm),0.9907407532577518,1.2923961076513335,0.8717971958244296,1.3385240321398462,0.11894355743332219,0.06281788582303831,-0.01824258459824537,0.14903747322630487,False,0.09001228066741007,0.49125,0.06281788582303831,0.09001228066741007
